tidak_baku,kata_baku
suka,sering
dr,dari
ribet jd,rumit jadi
jng,jangan
bgt,banget
menarikk,menarik
bgtt,banget
cobaa,coba
jdi,jadi
Mntp,Mantap
dech,deh
pokonya,pokoknya
cepar,cepat
Fiks,Fix
gi mana sih,gimana sih
gaggal,gagal
walletttt,wallet
Gmn,Gimana
okelah,Oke lah
menyusah kan,menyusahkan
daptar,daftar
mintak,minta
lankah,langkah
okelah,Oke lah
dam,dan
apk,aplikasi
orng,orang
beleum,belum
lbih,lebih
fitu,fitur
uji cob,uji coba
klinci,kelinci
karna,karena
temat,tempat
yg,yang
apk,aplikasi
dg,dengan
pakak,pakai
membatu,membantu
bertaransaksi,bertransaksi
membatu,membantu
bener2,benar
gk,tidak
msa,masa
klo,kalau
deh,saja
apapun,apa pun
dlln,dll
fulll,full
berembang,berkembang
orengggg,orang
giman,gimana
belom,belum
bs,bisa
kluar,keluar
hrs,harus
dftar,daftar
dftr,daftar
gaperlu,tidak perlu
kek,kayak/seperti
brimo,BRImo
imterfacenya,interfacenya
mending,lebih baik
kow,kok
lbh,lebih
srg,sering
ni,ini
bru,baru
mlm,malam
smpai,sampai
gmn,gimana
kjadian,kejadian
pk,pakai
bgt,banget
tf,transfer
tmn,teman
ribett,ribet
jd,jadi
bngat,banget
bs,bisa
jugaa,juga
kerenn!!,keren
colorfull,colorful
wndr,Wondr
udah,sudah
kokkk,kok
menyalaaa,menyala
kasi,kasih
instal,install
bnget,banget
rekomend,rekomendasi
applikasi,aplikasi
apk,aplikasi
mantapp,mantap
di gunakan,digunakan
udh,sudah
nggk,tidak
menyalah,menyala
wonder,Wondr
Skrang,Sekarang
bs,bisa
gacorr,gacor
lebihhh,lebih
sangan,sangat
merurut,menurut
reser,reset
kluar,keluar
sndiri,sendiri
pokonya,pokoknya
dri,dari
apknya,aplikasinya
mosok,masa
sy,saya
gada,tidak ada
kesel,kesal
smpe,sampai
ngebug,bug
mantabb,mantap
eehhh,eh
tu,itu
tp,tapi
niat,berniat
cman,cuma
ny,nya
msak,masa
bet,banget
jg,juga
koq,kok
kyk,kayak
sdah,sudah
sat set,cepat
bangett,banget
jdi,jadi
bangeett,banget
buruann,buruan
menarikk,menarik
mantapp,mantap
apeuuniii,apa ini
inj,ini
jgn,jangan
udh,sudah
duit,uang
cmn,cuma
mantap bgt,mantap banget
respon,respons
cuman,cuma
bgtt,banget
cepettt,cepat
jayaaaa,jaya
word,Wondr
diBNI,di BNI
knp,kenapa
leleeeeeet,lelet
ko,kok
uda,sudah
trs,terus
karna,karena
maasa,masa
haadehh,haduh
ga jaadi,tidak jadi
gaada,tidak ada
klo,kalau
tmpt,tempat
nyuruh,menyuruh
pake,pakai
raibb,raib
bodok,bodoh
macem2,macam
ganpang,gampang
downlod,download
lbih,lebih
ga,tidak
smnjak,semenjak
mudha bnget,mudah banget
digunakna,digunakan
ngemudahin,memudahkan
merchan,merchant
bawak,bawa
jayaaa,jaya
rekomend,recommended
bgus bnget,bagus banget
ngebug,bug
dgn,dengan
applikasi,aplikasi
sngat,sangat
wondy,Wondr
jyga,juga
semngat,semangat
tetima,terima
jga,juga
jdi,jadi
tnpa,tanpa
jooss,jos
mantapp,mantap
trf,transfer
apk,aplikasi
IU,UI
jdi,jadi
dipakenya,dipakai
lebih moderen,lebih modern
g biaa,tidak bisa
ngga bs,tidak bisa
kagak,tidak
ribett,ribet
ga bisa,tidak bisa
qr,qris
tampilanya,tampilan
desginnya, desain
desginya, desain
tampialannya,tampilan
narik,tarik
tidak,tidak
nggak,tidak
app,aplikasi
tampilanya,tampilan
tampilannya,tampilan
interface,interfacenya
